figure,series,mode,x,x_label,value,unit,source,selector
fig1,working_set_latency,pre,33554432,33554432 bytes,60.622,ns,results/snc-off/ptr_chase_delphi-3af6_20260603_2358.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,pre,67108864,67108864 bytes,60.646,ns,results/snc-off/ptr_chase_delphi-3af6_20260603_2358.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,pre,100663296,100663296 bytes,61.124,ns,results/snc-off/ptr_chase_delphi-3af6_20260603_2358.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,pre,134217728,134217728 bytes,61.364,ns,results/snc-off/ptr_chase_delphi-3af6_20260603_2358.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,pre,268435456,268435456 bytes,61.974,ns,results/snc-off/ptr_chase_delphi-3af6_20260603_2358.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,pre,1073741824,1073741824 bytes,126.209,ns,results/snc-off/ptr_chase_delphi-3af6_20260603_2358.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,pre,2147483648,2147483648 bytes,135.083,ns,results/snc-off/ptr_chase_delphi-3af6_20260603_2358.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,pre,4294967296,4294967296 bytes,137.696,ns,results/snc-off/ptr_chase_delphi-3af6_20260603_2358.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,snc3,32768,32768 bytes,1.141,ns,results/snc3/ptr_chase_delphi-3af6_20260605_1822.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,snc3,65536,65536 bytes,3.644,ns,results/snc3/ptr_chase_delphi-3af6_20260605_1822.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,snc3,131072,131072 bytes,3.651,ns,results/snc3/ptr_chase_delphi-3af6_20260605_1822.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,snc3,262144,262144 bytes,3.651,ns,results/snc3/ptr_chase_delphi-3af6_20260605_1822.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,snc3,524288,524288 bytes,4.06,ns,results/snc3/ptr_chase_delphi-3af6_20260605_1822.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,snc3,1048576,1048576 bytes,4.653,ns,results/snc3/ptr_chase_delphi-3af6_20260605_1822.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,snc3,2097152,2097152 bytes,14.043,ns,results/snc3/ptr_chase_delphi-3af6_20260605_1822.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,snc3,4194304,4194304 bytes,35.892,ns,results/snc3/ptr_chase_delphi-3af6_20260605_1822.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,snc3,8388608,8388608 bytes,35.953,ns,results/snc3/ptr_chase_delphi-3af6_20260605_1822.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,snc3,16777216,16777216 bytes,35.97,ns,results/snc3/ptr_chase_delphi-3af6_20260605_1822.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,snc3,33554432,33554432 bytes,35.986,ns,results/snc3/ptr_chase_delphi-3af6_20260605_1822.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,snc3,67108864,67108864 bytes,35.995,ns,results/snc3/ptr_chase_delphi-3af6_20260605_1822.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,snc3,100663296,100663296 bytes,36.766,ns,results/snc3/ptr_chase_delphi-3af6_20260605_1822.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,snc3,134217728,134217728 bytes,45.295,ns,results/snc3/ptr_chase_delphi-3af6_20260605_1822.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,snc3,268435456,268435456 bytes,100.873,ns,results/snc3/ptr_chase_delphi-3af6_20260605_1822.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,snc3,1073741824,1073741824 bytes,109.775,ns,results/snc3/ptr_chase_delphi-3af6_20260605_1822.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,snc3,2147483648,2147483648 bytes,111.593,ns,results/snc3/ptr_chase_delphi-3af6_20260605_1822.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,snc3,4294967296,4294967296 bytes,112.751,ns,results/snc3/ptr_chase_delphi-3af6_20260605_1822.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig2,latency_levels,amd,0,"L1d
(32 KiB)",1.08,ns,derived,see printed sources
fig2,latency_levels,amd,1,"L2
(256 KiB)",3.8,ns,derived,see printed sources
fig2,latency_levels,amd,2,L3 hit,12.8,ns,derived,see printed sources
fig2,latency_levels,amd,3,"DRAM
local",109.8,ns,derived,see printed sources
fig2,latency_levels,amd,4,"DRAM
remote",198.7,ns,derived,see printed sources
fig2,latency_levels,pre,0,"L1d
(32 KiB)",1.141,ns,derived,see printed sources
fig2,latency_levels,pre,1,"L2
(256 KiB)",3.651,ns,derived,see printed sources
fig2,latency_levels,pre,2,L3 hit,60.535,ns,derived,see printed sources
fig2,latency_levels,pre,3,"DRAM
local",137.696,ns,derived,see printed sources
fig2,latency_levels,pre,4,"DRAM
remote",276.871,ns,derived,see printed sources
fig2,latency_levels,snc3,0,"L1d
(32 KiB)",1.141,ns,derived,see printed sources
fig2,latency_levels,snc3,1,"L2
(256 KiB)",3.651,ns,derived,see printed sources
fig2,latency_levels,snc3,2,L3 hit,35.892,ns,derived,see printed sources
fig2,latency_levels,snc3,3,"DRAM
local",112.751,ns,derived,see printed sources
fig2,latency_levels,snc3,4,"DRAM
remote",292.406,ns,derived,see printed sources
fig3,single_thread_bw,amd,0,DRAM local,38.46,GB/s,derived,see printed sources
fig3,single_thread_bw,amd,1,DRAM remote,30.42,GB/s,derived,see printed sources
fig3,single_thread_bw,pre,0,DRAM local,15.874,GB/s,derived,see printed sources
fig3,single_thread_bw,pre,1,DRAM remote,9.0,GB/s,derived,see printed sources
fig3,single_thread_bw,snc3,0,DRAM local,18.82,GB/s,derived,see printed sources
fig3,single_thread_bw,snc3,1,DRAM remote,8.970666666666666,GB/s,derived,see printed sources
fig4,c2c_latency,amd,0,"near
(same die/CCD)",55.6,ns_rt,derived,see printed sources
fig4,c2c_latency,amd,1,"same-socket
far",365.0,ns_rt,derived,see printed sources
fig4,c2c_latency,amd,2,cross-socket,639.0,ns_rt,derived,see printed sources
fig4,c2c_latency,pre,0,"near
(same die/CCD)",186.0075,ns_rt,derived,see printed sources
fig4,c2c_latency,pre,1,"same-socket
far",186.0075,ns_rt,derived,see printed sources
fig4,c2c_latency,pre,2,cross-socket,532.0205,ns_rt,derived,see printed sources
fig4,c2c_latency,snc3,0,"near
(same die/CCD)",125.19725,ns_rt,derived,see printed sources
fig4,c2c_latency,snc3,1,"same-socket
far",165.15249999999997,ns_rt,derived,see printed sources
fig4,c2c_latency,snc3,2,cross-socket,509.87375000000003,ns_rt,derived,see printed sources
fig6,L3_read,pre,1,1 threads,26.785,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,pre,2,2 threads,54.642,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,pre,4,4 threads,105.108,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,pre,8,8 threads,194.189,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,pre,12,12 threads,260.814,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,pre,16,16 threads,335.978,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,pre,24,24 threads,449.596,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,pre,36,36 threads,442.356,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,pre,48,48 threads,536.668,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,pre,64,64 threads,556.052,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,pre,72,72 threads,492.034,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,snc3,1,1 threads,30.11,GB/s,results/snc3/thread_scaling_delphi-3af6_20260605_1937.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,snc3,2,2 threads,60.235,GB/s,results/snc3/thread_scaling_delphi-3af6_20260605_1937.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,snc3,4,4 threads,117.154,GB/s,results/snc3/thread_scaling_delphi-3af6_20260605_1937.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,snc3,8,8 threads,193.898,GB/s,results/snc3/thread_scaling_delphi-3af6_20260605_1937.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,snc3,12,12 threads,291.115,GB/s,results/snc3/thread_scaling_delphi-3af6_20260605_1937.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,snc3,16,16 threads,285.031,GB/s,results/snc3/thread_scaling_delphi-3af6_20260605_1937.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,snc3,24,24 threads,383.705,GB/s,results/snc3/thread_scaling_delphi-3af6_20260605_1937.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,snc3,36,36 threads,449.461,GB/s,results/snc3/thread_scaling_delphi-3af6_20260605_1937.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,snc3,48,48 threads,409.945,GB/s,results/snc3/thread_scaling_delphi-3af6_20260605_1937.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,snc3,64,64 threads,685.79,GB/s,results/snc3/thread_scaling_delphi-3af6_20260605_1937.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig6,L3_read,snc3,72,72 threads,782.784,GB/s,results/snc3/thread_scaling_delphi-3af6_20260605_1937.csv,"regime in [""L3"",""L3p2""] pattern==""read""; prefer L3p2 duplicates"
fig5,l3_read_peak,pre,64,peak threads,556.052,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,max L3/L3p2 read
fig5,l3_read_peak,snc3,72,peak threads,782.784,GB/s,results/snc3/thread_scaling_delphi-3af6_20260605_1937.csv,max L3/L3p2 read
fig6,DRAM_read,pre,1,1 threads,26.584,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime==""DRAM"" pattern==""read"""
fig6,DRAM_read,pre,2,2 threads,54.303,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime==""DRAM"" pattern==""read"""
fig6,DRAM_read,pre,4,4 threads,103.831,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime==""DRAM"" pattern==""read"""
fig6,DRAM_read,pre,8,8 threads,181.621,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime==""DRAM"" pattern==""read"""
fig6,DRAM_read,pre,12,12 threads,242.803,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime==""DRAM"" pattern==""read"""
fig6,DRAM_read,pre,16,16 threads,299.595,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime==""DRAM"" pattern==""read"""
fig6,DRAM_read,pre,24,24 threads,351.226,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime==""DRAM"" pattern==""read"""
fig6,DRAM_read,pre,36,36 threads,537.625,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime==""DRAM"" pattern==""read"""
fig6,DRAM_read,pre,48,48 threads,548.443,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime==""DRAM"" pattern==""read"""
fig6,DRAM_read,pre,64,64 threads,596.319,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime==""DRAM"" pattern==""read"""
fig6,DRAM_read,pre,72,72 threads,594.06,GB/s,results/snc-off/thread_scaling_delphi-3af6_20260604_0056.csv,"regime==""DRAM"" pattern==""read"""
fig6,DRAM_read,snc3,1,1 threads,30.054,GB/s,results/snc3/thread_scaling_delphi-3af6_20260605_1937.csv,"regime==""DRAM"" pattern==""read"""
fig6,DRAM_read,snc3,2,2 threads,61.236,GB/s,results/snc3/thread_scaling_delphi-3af6_20260605_1937.csv,"regime==""DRAM"" pattern==""read"""
fig6,DRAM_read,snc3,4,4 threads,102.256,GB/s,results/snc3/thread_scaling_delphi-3af6_20260605_1937.csv,"regime==""DRAM"" pattern==""read"""
fig6,DRAM_read,snc3,8,8 threads,165.135,GB/s,results/snc3/thread_scaling_delphi-3af6_20260605_1937.csv,"regime==""DRAM"" pattern==""read"""
fig6,DRAM_read,snc3,12,12 threads,204.238,GB/s,results/snc3/thread_scaling_delphi-3af6_20260605_1937.csv,"regime==""DRAM"" pattern==""read"""
fig6,DRAM_read,snc3,16,16 threads,199.752,GB/s,results/snc3/thread_scaling_delphi-3af6_20260605_1937.csv,"regime==""DRAM"" pattern==""read"""
fig6,DRAM_read,snc3,24,24 threads,203.697,GB/s,results/snc3/thread_scaling_delphi-3af6_20260605_1937.csv,"regime==""DRAM"" pattern==""read"""
fig7,DRAM_1G,snc3,0,0 bg threads,110.118,ns,results/snc3/loaded_lat_delphi-3af6_20260605_1941.csv,"victim_ws==""DRAM_1G"""
fig7,DRAM_1G,snc3,4,4 bg threads,114.082,ns,results/snc3/loaded_lat_delphi-3af6_20260605_1941.csv,"victim_ws==""DRAM_1G"""
fig7,DRAM_1G,snc3,8,8 bg threads,121.439,ns,results/snc3/loaded_lat_delphi-3af6_20260605_1941.csv,"victim_ws==""DRAM_1G"""
fig7,DRAM_1G,snc3,12,12 bg threads,156.513,ns,results/snc3/loaded_lat_delphi-3af6_20260605_1941.csv,"victim_ws==""DRAM_1G"""
fig7,DRAM_1G,snc3,16,16 bg threads,189.156,ns,results/snc3/loaded_lat_delphi-3af6_20260605_1941.csv,"victim_ws==""DRAM_1G"""
fig7,DRAM_1G,snc3,23,23 bg threads,171.107,ns,results/snc3/loaded_lat_delphi-3af6_20260605_1941.csv,"victim_ws==""DRAM_1G"""
fig7,DRAM_1G,pre,0,0 bg threads,126.587,ns,results/snc-off/loaded_lat_delphi-3af6_20260604_0059.csv,"victim_ws==""DRAM_1G"""
fig7,DRAM_1G,pre,4,4 bg threads,132.7,ns,results/snc-off/loaded_lat_delphi-3af6_20260604_0059.csv,"victim_ws==""DRAM_1G"""
fig7,DRAM_1G,pre,8,8 bg threads,137.209,ns,results/snc-off/loaded_lat_delphi-3af6_20260604_0059.csv,"victim_ws==""DRAM_1G"""
fig7,DRAM_1G,pre,12,12 bg threads,140.163,ns,results/snc-off/loaded_lat_delphi-3af6_20260604_0059.csv,"victim_ws==""DRAM_1G"""
fig7,DRAM_1G,pre,16,16 bg threads,142.85,ns,results/snc-off/loaded_lat_delphi-3af6_20260604_0059.csv,"victim_ws==""DRAM_1G"""
fig7,DRAM_1G,pre,23,23 bg threads,146.89,ns,results/snc-off/loaded_lat_delphi-3af6_20260604_0059.csv,"victim_ws==""DRAM_1G"""
fig7,L3_16M,snc3,0,0 bg threads,35.975,ns,results/snc3/loaded_lat_delphi-3af6_20260605_1941.csv,"victim_ws==""L3_16M"""
fig7,L3_16M,snc3,4,4 bg threads,51.927,ns,results/snc3/loaded_lat_delphi-3af6_20260605_1941.csv,"victim_ws==""L3_16M"""
fig7,L3_16M,snc3,8,8 bg threads,110.973,ns,results/snc3/loaded_lat_delphi-3af6_20260605_1941.csv,"victim_ws==""L3_16M"""
fig7,L3_16M,snc3,12,12 bg threads,143.632,ns,results/snc3/loaded_lat_delphi-3af6_20260605_1941.csv,"victim_ws==""L3_16M"""
fig7,L3_16M,snc3,16,16 bg threads,136.736,ns,results/snc3/loaded_lat_delphi-3af6_20260605_1941.csv,"victim_ws==""L3_16M"""
fig7,L3_16M,snc3,23,23 bg threads,221.242,ns,results/snc3/loaded_lat_delphi-3af6_20260605_1941.csv,"victim_ws==""L3_16M"""
fig7,L3_16M,pre,0,0 bg threads,60.288,ns,results/snc-off/loaded_lat_delphi-3af6_20260604_0059.csv,"victim_ws==""L3_16M"""
fig7,L3_16M,pre,4,4 bg threads,61.698,ns,results/snc-off/loaded_lat_delphi-3af6_20260604_0059.csv,"victim_ws==""L3_16M"""
fig7,L3_16M,pre,8,8 bg threads,64.571,ns,results/snc-off/loaded_lat_delphi-3af6_20260604_0059.csv,"victim_ws==""L3_16M"""
fig7,L3_16M,pre,12,12 bg threads,69.616,ns,results/snc-off/loaded_lat_delphi-3af6_20260604_0059.csv,"victim_ws==""L3_16M"""
fig7,L3_16M,pre,16,16 bg threads,62.916,ns,results/snc-off/loaded_lat_delphi-3af6_20260604_0059.csv,"victim_ws==""L3_16M"""
fig7,L3_16M,pre,23,23 bg threads,103.832,ns,results/snc-off/loaded_lat_delphi-3af6_20260604_0059.csv,"victim_ws==""L3_16M"""
fig8,socket_saturation_read,snc3,1,1 threads,30.003,GB/s,results/snc3/socket_sat_delphi-3af6_20260605_1943.csv,"pattern==""read"""
fig8,socket_saturation_read,snc3,2,2 threads,61.528,GB/s,results/snc3/socket_sat_delphi-3af6_20260605_1943.csv,"pattern==""read"""
fig8,socket_saturation_read,snc3,4,4 threads,101.772,GB/s,results/snc3/socket_sat_delphi-3af6_20260605_1943.csv,"pattern==""read"""
fig8,socket_saturation_read,snc3,8,8 threads,166.69,GB/s,results/snc3/socket_sat_delphi-3af6_20260605_1943.csv,"pattern==""read"""
fig8,socket_saturation_read,snc3,12,12 threads,203.175,GB/s,results/snc3/socket_sat_delphi-3af6_20260605_1943.csv,"pattern==""read"""
fig8,socket_saturation_read,snc3,16,16 threads,237.314,GB/s,results/snc3/socket_sat_delphi-3af6_20260605_1943.csv,"pattern==""read"""
fig8,socket_saturation_read,snc3,24,24 threads,204.116,GB/s,results/snc3/socket_sat_delphi-3af6_20260605_1943.csv,"pattern==""read"""
fig8,socket_saturation_read,snc3,32,32 threads,348.351,GB/s,results/snc3/socket_sat_delphi-3af6_20260605_1943.csv,"pattern==""read"""
fig8,socket_saturation_read,snc3,40,40 threads,419.593,GB/s,results/snc3/socket_sat_delphi-3af6_20260605_1943.csv,"pattern==""read"""
fig8,socket_saturation_read,snc3,48,48 threads,407.127,GB/s,results/snc3/socket_sat_delphi-3af6_20260605_1943.csv,"pattern==""read"""
fig8,socket_saturation_read,snc3,56,56 threads,551.237,GB/s,results/snc3/socket_sat_delphi-3af6_20260605_1943.csv,"pattern==""read"""
fig8,socket_saturation_read,snc3,64,64 threads,604.14,GB/s,results/snc3/socket_sat_delphi-3af6_20260605_1943.csv,"pattern==""read"""
fig8,socket_saturation_read,snc3,72,72 threads,608.882,GB/s,results/snc3/socket_sat_delphi-3af6_20260605_1943.csv,"pattern==""read"""
fig8,socket_saturation_read,pre,1,1 threads,26.531,GB/s,results/snc-off/socket_sat_delphi-3af6_20260604_0101.csv,"pattern==""read"""
fig8,socket_saturation_read,pre,2,2 threads,54.197,GB/s,results/snc-off/socket_sat_delphi-3af6_20260604_0101.csv,"pattern==""read"""
fig8,socket_saturation_read,pre,4,4 threads,103.621,GB/s,results/snc-off/socket_sat_delphi-3af6_20260604_0101.csv,"pattern==""read"""
fig8,socket_saturation_read,pre,8,8 threads,181.741,GB/s,results/snc-off/socket_sat_delphi-3af6_20260604_0101.csv,"pattern==""read"""
fig8,socket_saturation_read,pre,12,12 threads,239.767,GB/s,results/snc-off/socket_sat_delphi-3af6_20260604_0101.csv,"pattern==""read"""
fig8,socket_saturation_read,pre,16,16 threads,299.199,GB/s,results/snc-off/socket_sat_delphi-3af6_20260604_0101.csv,"pattern==""read"""
fig8,socket_saturation_read,pre,24,24 threads,362.045,GB/s,results/snc-off/socket_sat_delphi-3af6_20260604_0101.csv,"pattern==""read"""
fig8,socket_saturation_read,pre,32,32 threads,497.233,GB/s,results/snc-off/socket_sat_delphi-3af6_20260604_0101.csv,"pattern==""read"""
fig8,socket_saturation_read,pre,40,40 threads,587.317,GB/s,results/snc-off/socket_sat_delphi-3af6_20260604_0101.csv,"pattern==""read"""
fig8,socket_saturation_read,pre,48,48 threads,555.313,GB/s,results/snc-off/socket_sat_delphi-3af6_20260604_0101.csv,"pattern==""read"""
fig8,socket_saturation_read,pre,56,56 threads,594.865,GB/s,results/snc-off/socket_sat_delphi-3af6_20260604_0101.csv,"pattern==""read"""
fig8,socket_saturation_read,pre,64,64 threads,595.222,GB/s,results/snc-off/socket_sat_delphi-3af6_20260604_0101.csv,"pattern==""read"""
fig8,socket_saturation_read,pre,72,72 threads,593.863,GB/s,results/snc-off/socket_sat_delphi-3af6_20260604_0101.csv,"pattern==""read"""
fig9,latency_vs_socket_bw_saturated_core_none,snc3,1,1 bg threads,298.182,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_none,snc3,2,2 bg threads,342.407,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_none,snc3,4,4 bg threads,405.898,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_none,snc3,8,8 bg threads,549.598,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_none,snc3,12,12 bg threads,785.556,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_none,snc3,16,16 bg threads,685.666,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_none,snc3,24,24 bg threads,314.45,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_none,snc3,32,32 bg threads,320.817,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_none,snc3,40,40 bg threads,299.05,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_none,snc3,56,56 bg threads,408.388,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_none,snc3,64,64 bg threads,301.656,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
